description,amount,date,type,payment_method,recurrent
Estacionamento,11.75,2024-09-30,EXPENSE,DEBIT_CARD,false
Impostos e taxas,1785.12,2024-09-30,EXPENSE,BOLETO,false
Livraria,195.27,2024-09-30,EXPENSE,DEBIT_CARD,false
Restaurante,97.78,2024-09-30,EXPENSE,PIX,false
Dividendos,708.10,2024-09-30,INCOME,PIX,true
Dividendos,418.19,2024-09-30,INCOME,BANK_TRANSFER,true
Aplicativo de transporte,80.52,2024-10-01,EXPENSE,BOLETO,false
Cinema e lazer,83.59,2024-10-01,EXPENSE,CREDIT_CARD,false
Conta de agua,170.80,2024-10-01,EXPENSE,CASH,true
Eletronicos,4708.71,2024-10-01,EXPENSE,BANK_TRANSFER,false
Estacionamento,33.88,2024-10-01,EXPENSE,BANK_TRANSFER,false
Farmacia,158.74,2024-10-01,EXPENSE,BOLETO,false
Internet residencial,89.92,2024-10-01,EXPENSE,CASH,true
Internet residencial,80.01,2024-10-01,EXPENSE,CASH,true
Livraria,42.01,2024-10-01,EXPENSE,BANK_TRANSFER,false
Livraria,231.55,2024-10-01,EXPENSE,DEBIT_CARD,false
Loja de roupas,841.19,2024-10-01,EXPENSE,BANK_TRANSFER,false
Pet shop,360.05,2024-10-01,EXPENSE,CREDIT_CARD,false
Plano de celular,108.71,2024-10-01,EXPENSE,BOLETO,true
Restaurante,124.14,2024-10-01,EXPENSE,CASH,false
Aplicativo de transporte,88.14,2024-10-02,EXPENSE,CREDIT_CARD,false
Combustivel,222.97,2024-10-02,EXPENSE,BOLETO,false
Condominio,995.79,2024-10-02,EXPENSE,DEBIT_CARD,true
Conta de agua,201.14,2024-10-02,EXPENSE,CASH,true
Conta de energia,457.02,2024-10-02,EXPENSE,CREDIT_CARD,true
Impostos e taxas,799.66,2024-10-02,EXPENSE,BOLETO,false
Manutencao do veiculo,2072.03,2024-10-02,EXPENSE,PIX,false
Padaria,41.42,2024-10-02,EXPENSE,BOLETO,false
Passagem aerea,2005.91,2024-10-02,EXPENSE,CASH,false
Plano de saude,1120.54,2024-10-02,EXPENSE,CASH,true
Viagem e hospedagem,3119.97,2024-10-02,EXPENSE,PIX,false
Restituicao de imposto,2532.11,2024-10-02,INCOME,BANK_TRANSFER,false
Salario mensal,8402.89,2024-10-02,INCOME,BANK_TRANSFER,true
Aluguel residencial,1260.13,2024-10-03,EXPENSE,DEBIT_CARD,true
Aluguel residencial,1816.23,2024-10-03,EXPENSE,CASH,true
Conta de energia,301.56,2024-10-03,EXPENSE,CASH,true
Doacao,480.38,2024-10-03,EXPENSE,BOLETO,false
Farmacia,36.11,2024-10-03,EXPENSE,PIX,false
Impostos e taxas,1961.57,2024-10-03,EXPENSE,CASH,false
Loja de roupas,202.19,2024-10-03,EXPENSE,BANK_TRANSFER,false
Padaria,12.14,2024-10-03,EXPENSE,BANK_TRANSFER,false
Academia,68.73,2024-10-04,EXPENSE,BOLETO,true
Doacao,303.40,2024-10-04,EXPENSE,DEBIT_CARD,false
Internet residencial,108.23,2024-10-04,EXPENSE,BANK_TRANSFER,true
Passagem aerea,3575.28,2024-10-04,EXPENSE,CREDIT_CARD,false
Plano de celular,92.46,2024-10-04,EXPENSE,BANK_TRANSFER,true
Seguro do veiculo,492.96,2024-10-04,EXPENSE,CASH,true
Dividendos,306.28,2024-10-04,INCOME,BANK_TRANSFER,true
Pagamento freelance,3542.68,2024-10-04,INCOME,PIX,false
Restituicao de imposto,1669.21,2024-10-04,INCOME,PIX,false
Aluguel residencial,3422.78,2024-10-05,EXPENSE,BANK_TRANSFER,false
Aplicativo de transporte,79.57,2024-10-05,EXPENSE,CREDIT_CARD,false
Cinema e lazer,99.28,2024-10-05,EXPENSE,CREDIT_CARD,false
Conta de energia,569.09,2024-10-05,EXPENSE,PIX,false
Doacao,359.35,2024-10-05,EXPENSE,BANK_TRANSFER,false
Doacao,284.86,2024-10-05,EXPENSE,BOLETO,false
Livraria,174.10,2024-10-05,EXPENSE,BOLETO,false
Loja de roupas,120.17,2024-10-05,EXPENSE,BANK_TRANSFER,false
Plano de saude,1027.09,2024-10-05,EXPENSE,DEBIT_CARD,true
Restaurante,206.45,2024-10-05,EXPENSE,BANK_TRANSFER,false
Veterinario,700.97,2024-10-05,EXPENSE,PIX,false
Veterinario,540.83,2024-10-05,EXPENSE,PIX,false
Viagem e hospedagem,4150.88,2024-10-05,EXPENSE,BOLETO,false
Conta de agua,160.19,2024-10-06,EXPENSE,PIX,false
Delivery de comida,180.50,2024-10-06,EXPENSE,CASH,false
Manutencao do veiculo,1510.23,2024-10-06,EXPENSE,PIX,false
Seguro do veiculo,185.26,2024-10-06,EXPENSE,PIX,true
Supermercado,639.79,2024-10-06,EXPENSE,CASH,false
Veterinario,317.97,2024-10-06,EXPENSE,CREDIT_CARD,false
Pagamento freelance,1249.26,2024-10-06,INCOME,PIX,false
Academia,201.09,2024-10-07,EXPENSE,PIX,true
Aplicativo de transporte,14.81,2024-10-07,EXPENSE,BOLETO,false
Combustivel,387.90,2024-10-07,EXPENSE,CASH,false
Conta de agua,69.44,2024-10-07,EXPENSE,CASH,true
Farmacia,373.59,2024-10-07,EXPENSE,DEBIT_CARD,false
Impostos e taxas,945.44,2024-10-07,EXPENSE,DEBIT_CARD,false
Padaria,52.09,2024-10-07,EXPENSE,PIX,false
Pagamento freelance,3472.74,2024-10-07,INCOME,BANK_TRANSFER,false
Venda de produto,1415.15,2024-10-07,INCOME,BANK_TRANSFER,false
Aluguel residencial,1476.19,2024-10-08,EXPENSE,PIX,true
Conta de energia,422.76,2024-10-08,EXPENSE,CASH,true
Delivery de comida,65.35,2024-10-08,EXPENSE,CASH,false
Doacao,163.33,2024-10-08,EXPENSE,DEBIT_CARD,false
Livraria,70.16,2024-10-08,EXPENSE,BOLETO,false
Padaria,32.32,2024-10-08,EXPENSE,BANK_TRANSFER,false
Padaria,38.53,2024-10-08,EXPENSE,CREDIT_CARD,false
Restaurante,308.91,2024-10-08,EXPENSE,BANK_TRANSFER,false
Veterinario,174.93,2024-10-08,EXPENSE,BANK_TRANSFER,false
Salario mensal,3915.74,2024-10-08,INCOME,BANK_TRANSFER,true
Transferencia recebida,326.00,2024-10-08,INCOME,BANK_TRANSFER,false
Combustivel,415.73,2024-10-09,EXPENSE,BANK_TRANSFER,false
Condominio,645.07,2024-10-09,EXPENSE,CREDIT_CARD,true
Doacao,200.98,2024-10-09,EXPENSE,PIX,false
Internet residencial,84.89,2024-10-09,EXPENSE,DEBIT_CARD,false
Seguro do veiculo,431.49,2024-10-09,EXPENSE,DEBIT_CARD,true
Streaming,27.90,2024-10-09,EXPENSE,DEBIT_CARD,true
Supermercado,719.44,2024-10-09,EXPENSE,CREDIT_CARD,false
Viagem e hospedagem,1691.48,2024-10-09,EXPENSE,DEBIT_CARD,false
Reembolso empresarial,674.34,2024-10-09,INCOME,BANK_TRANSFER,false
Academia,86.94,2024-10-10,EXPENSE,PIX,true
Academia,135.60,2024-10-10,EXPENSE,DEBIT_CARD,true
Aplicativo de transporte,84.22,2024-10-10,EXPENSE,CREDIT_CARD,false
Condominio,266.26,2024-10-10,EXPENSE,PIX,true
Conta de agua,145.69,2024-10-10,EXPENSE,DEBIT_CARD,true
Doacao,263.26,2024-10-10,EXPENSE,PIX,false
Impostos e taxas,534.44,2024-10-10,EXPENSE,DEBIT_CARD,false
Loja de roupas,488.09,2024-10-10,EXPENSE,BANK_TRANSFER,false
Padaria,78.56,2024-10-10,EXPENSE,CASH,false
Passagem aerea,1797.63,2024-10-10,EXPENSE,CASH,false
Plano de saude,1317.68,2024-10-10,EXPENSE,BOLETO,true
Veterinario,580.43,2024-10-10,EXPENSE,DEBIT_CARD,false
Veterinario,513.40,2024-10-10,EXPENSE,CASH,false
Rendimento de investimento,596.01,2024-10-10,INCOME,BANK_TRANSFER,true
Venda de produto,525.42,2024-10-10,INCOME,BANK_TRANSFER,false
Condominio,798.54,2024-10-11,EXPENSE,CREDIT_CARD,true
Conta de energia,621.51,2024-10-11,EXPENSE,DEBIT_CARD,false
Eletronicos,1451.55,2024-10-11,EXPENSE,PIX,false
Farmacia,80.38,2024-10-11,EXPENSE,DEBIT_CARD,false
Livraria,244.32,2024-10-11,EXPENSE,DEBIT_CARD,false
Plano de celular,70.03,2024-10-11,EXPENSE,DEBIT_CARD,false
Plano de celular,77.16,2024-10-11,EXPENSE,CASH,true
Supermercado,240.40,2024-10-11,EXPENSE,DEBIT_CARD,false
Restituicao de imposto,2680.11,2024-10-11,INCOME,PIX,false
Salario mensal,8714.09,2024-10-11,INCOME,BANK_TRANSFER,true
Aluguel residencial,3566.97,2024-10-12,EXPENSE,BANK_TRANSFER,false
Cinema e lazer,165.49,2024-10-12,EXPENSE,DEBIT_CARD,false
Cinema e lazer,98.22,2024-10-12,EXPENSE,CREDIT_CARD,false
Cinema e lazer,67.21,2024-10-12,EXPENSE,CREDIT_CARD,false
Condominio,608.87,2024-10-12,EXPENSE,CASH,true
Eletronicos,3179.88,2024-10-12,EXPENSE,CASH,false
Manutencao do veiculo,1484.52,2024-10-12,EXPENSE,DEBIT_CARD,false
Padaria,34.01,2024-10-12,EXPENSE,PIX,false
Pet shop,37.17,2024-10-12,EXPENSE,BANK_TRANSFER,false
Pet shop,194.24,2024-10-12,EXPENSE,CREDIT_CARD,false
Plano de saude,957.95,2024-10-12,EXPENSE,CASH,true
Restaurante,174.15,2024-10-12,EXPENSE,BOLETO,false
Aluguel recebido,913.60,2024-10-12,INCOME,BANK_TRANSFER,true
Dividendos,450.38,2024-10-12,INCOME,PIX,false
Aluguel residencial,3701.80,2024-10-13,EXPENSE,BOLETO,true
Combustivel,105.82,2024-10-13,EXPENSE,DEBIT_CARD,false
Condominio,539.46,2024-10-13,EXPENSE,BANK_TRANSFER,true
Internet residencial,192.21,2024-10-13,EXPENSE,BANK_TRANSFER,true
Livraria,97.00,2024-10-13,EXPENSE,BANK_TRANSFER,false
Manutencao do veiculo,553.14,2024-10-13,EXPENSE,BOLETO,false
Passagem aerea,351.81,2024-10-13,EXPENSE,BANK_TRANSFER,false
Passagem aerea,1983.33,2024-10-13,EXPENSE,BOLETO,false
Pet shop,32.93,2024-10-13,EXPENSE,PIX,false
Plano de celular,48.63,2024-10-13,EXPENSE,CASH,true
Restaurante,121.00,2024-10-13,EXPENSE,DEBIT_CARD,false
Seguro do veiculo,189.09,2024-10-13,EXPENSE,BOLETO,false
Streaming,68.02,2024-10-13,EXPENSE,BANK_TRANSFER,false
Viagem e hospedagem,449.24,2024-10-13,EXPENSE,CREDIT_CARD,false
Pagamento freelance,871.32,2024-10-13,INCOME,BANK_TRANSFER,false
Aluguel residencial,987.97,2024-10-14,EXPENSE,BOLETO,true
Combustivel,124.72,2024-10-14,EXPENSE,CREDIT_CARD,false
Curso online,747.56,2024-10-14,EXPENSE,PIX,false
Curso online,372.06,2024-10-14,EXPENSE,BOLETO,false
Internet residencial,207.79,2024-10-14,EXPENSE,BANK_TRANSFER,true
Plano de celular,126.38,2024-10-14,EXPENSE,BANK_TRANSFER,true
Supermercado,365.78,2024-10-14,EXPENSE,CASH,false
Reembolso empresarial,693.86,2024-10-14,INCOME,BANK_TRANSFER,false
Aluguel residencial,3423.56,2024-10-15,EXPENSE,CASH,true
Conta de energia,136.58,2024-10-15,EXPENSE,CASH,true
Internet residencial,98.92,2024-10-15,EXPENSE,CREDIT_CARD,true
Manutencao do veiculo,2276.74,2024-10-15,EXPENSE,CREDIT_CARD,false
Padaria,44.30,2024-10-15,EXPENSE,BANK_TRANSFER,false
Viagem e hospedagem,3722.06,2024-10-15,EXPENSE,DEBIT_CARD,false
Dividendos,248.56,2024-10-15,INCOME,BANK_TRANSFER,true
Venda de produto,66.38,2024-10-15,INCOME,BANK_TRANSFER,false
Combustivel,113.86,2024-10-16,EXPENSE,CASH,false
Condominio,753.99,2024-10-16,EXPENSE,BOLETO,true
Conta de agua,70.49,2024-10-16,EXPENSE,DEBIT_CARD,true
Curso online,40.68,2024-10-16,EXPENSE,DEBIT_CARD,false
Eletronicos,383.12,2024-10-16,EXPENSE,DEBIT_CARD,false
Farmacia,109.04,2024-10-16,EXPENSE,BOLETO,false
Manutencao do veiculo,219.71,2024-10-16,EXPENSE,PIX,false
Manutencao do veiculo,337.31,2024-10-16,EXPENSE,BANK_TRANSFER,false
Seguro do veiculo,523.42,2024-10-16,EXPENSE,DEBIT_CARD,false
Supermercado,52.12,2024-10-16,EXPENSE,CASH,false
Supermercado,339.67,2024-10-16,EXPENSE,CASH,false
Salario mensal,5497.67,2024-10-16,INCOME,PIX,true
Venda de produto,1336.12,2024-10-16,INCOME,BANK_TRANSFER,false
Academia,183.80,2024-10-17,EXPENSE,CREDIT_CARD,true
Aluguel residencial,1422.48,2024-10-17,EXPENSE,DEBIT_CARD,true
Aplicativo de transporte,29.25,2024-10-17,EXPENSE,CREDIT_CARD,false
Combustivel,389.05,2024-10-17,EXPENSE,BOLETO,false
Estacionamento,35.62,2024-10-17,EXPENSE,CREDIT_CARD,false
Impostos e taxas,1310.29,2024-10-17,EXPENSE,CREDIT_CARD,false
Plano de saude,1247.99,2024-10-17,EXPENSE,PIX,true
Seguro do veiculo,121.58,2024-10-17,EXPENSE,CREDIT_CARD,true
Aplicativo de transporte,64.86,2024-10-18,EXPENSE,PIX,false
Combustivel,298.60,2024-10-18,EXPENSE,PIX,false
Doacao,489.11,2024-10-18,EXPENSE,CREDIT_CARD,false
Eletronicos,4181.94,2024-10-18,EXPENSE,BOLETO,false
Eletronicos,3129.25,2024-10-18,EXPENSE,CASH,false
Livraria,278.77,2024-10-18,EXPENSE,CASH,false
Loja de roupas,152.59,2024-10-18,EXPENSE,BOLETO,false
Pet shop,366.97,2024-10-18,EXPENSE,BANK_TRANSFER,false
Seguro do veiculo,254.17,2024-10-18,EXPENSE,BANK_TRANSFER,false
Supermercado,649.40,2024-10-18,EXPENSE,PIX,false
Veterinario,939.56,2024-10-18,EXPENSE,BOLETO,false
Restituicao de imposto,1301.96,2024-10-18,INCOME,BANK_TRANSFER,false
Transferencia recebida,515.33,2024-10-18,INCOME,PIX,false
Combustivel,127.58,2024-10-19,EXPENSE,BANK_TRANSFER,false
Combustivel,340.43,2024-10-19,EXPENSE,DEBIT_CARD,false
Condominio,299.63,2024-10-19,EXPENSE,CREDIT_CARD,true
Padaria,11.46,2024-10-19,EXPENSE,DEBIT_CARD,false
Plano de celular,170.45,2024-10-19,EXPENSE,CREDIT_CARD,true
Academia,226.99,2024-10-20,EXPENSE,BANK_TRANSFER,true
Cinema e lazer,57.72,2024-10-20,EXPENSE,DEBIT_CARD,false
Condominio,1188.58,2024-10-20,EXPENSE,BANK_TRANSFER,false
Curso online,578.67,2024-10-20,EXPENSE,CASH,false
Farmacia,176.73,2024-10-20,EXPENSE,CASH,false
Pet shop,217.31,2024-10-20,EXPENSE,DEBIT_CARD,false
Plano de celular,92.31,2024-10-20,EXPENSE,CREDIT_CARD,true
Venda de produto,1642.14,2024-10-20,INCOME,BANK_TRANSFER,false
Cinema e lazer,46.12,2024-10-21,EXPENSE,BOLETO,false
Conta de energia,627.73,2024-10-21,EXPENSE,PIX,true
Delivery de comida,167.12,2024-10-21,EXPENSE,BANK_TRANSFER,false
Delivery de comida,102.10,2024-10-21,EXPENSE,BOLETO,false
Internet residencial,178.46,2024-10-21,EXPENSE,CASH,false
Dividendos,260.01,2024-10-21,INCOME,BANK_TRANSFER,false
Reembolso empresarial,352.33,2024-10-21,INCOME,BANK_TRANSFER,false
Conta de agua,94.86,2024-10-22,EXPENSE,CREDIT_CARD,true
Estacionamento,64.24,2024-10-22,EXPENSE,CASH,false
Manutencao do veiculo,1744.47,2024-10-22,EXPENSE,BOLETO,false
Padaria,79.00,2024-10-22,EXPENSE,CREDIT_CARD,false
Pet shop,289.98,2024-10-22,EXPENSE,BOLETO,false
Rendimento de investimento,243.75,2024-10-22,INCOME,PIX,true
Cinema e lazer,195.30,2024-10-23,EXPENSE,DEBIT_CARD,false
Combustivel,208.36,2024-10-23,EXPENSE,CASH,false
Eletronicos,1703.69,2024-10-23,EXPENSE,CASH,false
Farmacia,331.53,2024-10-23,EXPENSE,BOLETO,false
Internet residencial,134.70,2024-10-23,EXPENSE,BANK_TRANSFER,true
Internet residencial,124.12,2024-10-23,EXPENSE,PIX,true
Livraria,132.13,2024-10-23,EXPENSE,CREDIT_CARD,false
Manutencao do veiculo,223.10,2024-10-23,EXPENSE,CASH,false
Padaria,70.14,2024-10-23,EXPENSE,BANK_TRANSFER,false
Plano de celular,172.68,2024-10-23,EXPENSE,CASH,false
Streaming,24.01,2024-10-23,EXPENSE,DEBIT_CARD,true
Streaming,20.52,2024-10-23,EXPENSE,DEBIT_CARD,true
Supermercado,479.96,2024-10-23,EXPENSE,BOLETO,false
Pagamento freelance,3129.68,2024-10-23,INCOME,BANK_TRANSFER,false
Cinema e lazer,38.04,2024-10-24,EXPENSE,PIX,false
Curso online,644.10,2024-10-24,EXPENSE,BANK_TRANSFER,false
Estacionamento,34.49,2024-10-24,EXPENSE,DEBIT_CARD,false
Loja de roupas,542.13,2024-10-24,EXPENSE,CREDIT_CARD,false
Padaria,83.91,2024-10-24,EXPENSE,DEBIT_CARD,false
Passagem aerea,1522.20,2024-10-24,EXPENSE,CASH,false
Pet shop,48.83,2024-10-24,EXPENSE,BANK_TRANSFER,false
Plano de celular,84.66,2024-10-24,EXPENSE,PIX,false
Seguro do veiculo,177.09,2024-10-24,EXPENSE,BOLETO,true
Dividendos,164.94,2024-10-24,INCOME,BANK_TRANSFER,true
Salario mensal,10732.46,2024-10-24,INCOME,PIX,true
Cinema e lazer,57.09,2024-10-25,EXPENSE,CREDIT_CARD,false
Condominio,258.21,2024-10-25,EXPENSE,CASH,true
Doacao,54.08,2024-10-25,EXPENSE,BOLETO,false
Supermercado,50.75,2024-10-25,EXPENSE,CREDIT_CARD,false
Supermercado,765.18,2024-10-25,EXPENSE,BANK_TRANSFER,false
Restituicao de imposto,694.24,2024-10-25,INCOME,PIX,false
Venda de produto,227.23,2024-10-25,INCOME,BANK_TRANSFER,false
Aluguel residencial,1054.93,2024-10-26,EXPENSE,BOLETO,true
Combustivel,277.14,2024-10-26,EXPENSE,CASH,false
Combustivel,291.26,2024-10-26,EXPENSE,BOLETO,false
Impostos e taxas,103.26,2024-10-26,EXPENSE,DEBIT_CARD,false
Livraria,30.91,2024-10-26,EXPENSE,BANK_TRANSFER,false
Padaria,42.38,2024-10-26,EXPENSE,DEBIT_CARD,false
Passagem aerea,357.68,2024-10-26,EXPENSE,PIX,false
Seguro do veiculo,248.49,2024-10-26,EXPENSE,BOLETO,true
Aluguel recebido,1071.39,2024-10-26,INCOME,PIX,true
Aluguel residencial,2862.33,2024-10-27,EXPENSE,BOLETO,true
Aplicativo de transporte,32.15,2024-10-27,EXPENSE,CREDIT_CARD,false
Combustivel,301.81,2024-10-27,EXPENSE,CASH,false
Condominio,740.40,2024-10-27,EXPENSE,DEBIT_CARD,true
Conta de agua,105.95,2024-10-27,EXPENSE,DEBIT_CARD,true
Eletronicos,4950.34,2024-10-27,EXPENSE,BANK_TRANSFER,false
Internet residencial,85.56,2024-10-27,EXPENSE,BOLETO,true
Livraria,28.24,2024-10-27,EXPENSE,CREDIT_CARD,false
Loja de roupas,177.49,2024-10-27,EXPENSE,CASH,false
Loja de roupas,206.08,2024-10-27,EXPENSE,CREDIT_CARD,false
Pet shop,106.79,2024-10-27,EXPENSE,CASH,false
Viagem e hospedagem,3918.36,2024-10-27,EXPENSE,DEBIT_CARD,false
Reembolso empresarial,411.31,2024-10-27,INCOME,PIX,false
Reembolso empresarial,393.11,2024-10-27,INCOME,BANK_TRANSFER,false
Aplicativo de transporte,11.11,2024-10-28,EXPENSE,CREDIT_CARD,false
Aplicativo de transporte,81.78,2024-10-28,EXPENSE,PIX,false
Curso online,730.31,2024-10-28,EXPENSE,CREDIT_CARD,false
Doacao,146.23,2024-10-28,EXPENSE,DEBIT_CARD,false
Farmacia,18.42,2024-10-28,EXPENSE,PIX,false
Internet residencial,105.82,2024-10-28,EXPENSE,BOLETO,true
Loja de roupas,846.42,2024-10-28,EXPENSE,CREDIT_CARD,false
Manutencao do veiculo,1698.21,2024-10-28,EXPENSE,CASH,false
Passagem aerea,1813.66,2024-10-28,EXPENSE,CASH,false
Pet shop,60.76,2024-10-28,EXPENSE,DEBIT_CARD,false
Dividendos,362.58,2024-10-28,INCOME,BANK_TRANSFER,false
Combustivel,136.24,2024-10-29,EXPENSE,PIX,false
Combustivel,372.58,2024-10-29,EXPENSE,CREDIT_CARD,false
Conta de energia,595.39,2024-10-29,EXPENSE,BANK_TRANSFER,true
Delivery de comida,61.21,2024-10-29,EXPENSE,DEBIT_CARD,false
Estacionamento,62.12,2024-10-29,EXPENSE,DEBIT_CARD,false
Farmacia,59.05,2024-10-29,EXPENSE,DEBIT_CARD,false
Passagem aerea,1131.20,2024-10-29,EXPENSE,PIX,false
Streaming,63.39,2024-10-29,EXPENSE,BANK_TRANSFER,true
Streaming,65.52,2024-10-29,EXPENSE,CASH,true
Bonus profissional,2839.41,2024-10-29,INCOME,BANK_TRANSFER,false
Rendimento de investimento,370.09,2024-10-29,INCOME,BANK_TRANSFER,true
Aluguel residencial,1393.81,2024-10-30,EXPENSE,DEBIT_CARD,true
Aluguel residencial,1351.81,2024-10-30,EXPENSE,BOLETO,true
Doacao,394.65,2024-10-30,EXPENSE,BANK_TRANSFER,false
Estacionamento,64.76,2024-10-30,EXPENSE,CREDIT_CARD,false
Loja de roupas,561.71,2024-10-30,EXPENSE,PIX,false
Passagem aerea,1544.93,2024-10-30,EXPENSE,DEBIT_CARD,false
Passagem aerea,3021.42,2024-10-30,EXPENSE,CREDIT_CARD,false
Plano de celular,62.30,2024-10-30,EXPENSE,DEBIT_CARD,true
Streaming,44.31,2024-10-30,EXPENSE,BANK_TRANSFER,true
Viagem e hospedagem,2034.53,2024-10-30,EXPENSE,CASH,false
Rendimento de investimento,52.53,2024-10-30,INCOME,BANK_TRANSFER,true
Salario mensal,10857.25,2024-10-30,INCOME,BANK_TRANSFER,true
Aplicativo de transporte,34.42,2024-10-31,EXPENSE,CREDIT_CARD,false
Aplicativo de transporte,12.97,2024-10-31,EXPENSE,BANK_TRANSFER,false
Aplicativo de transporte,13.06,2024-10-31,EXPENSE,PIX,false
Cinema e lazer,89.42,2024-10-31,EXPENSE,BOLETO,false
Condominio,1176.76,2024-10-31,EXPENSE,BOLETO,true
Eletronicos,1508.69,2024-10-31,EXPENSE,BOLETO,false
Manutencao do veiculo,124.72,2024-10-31,EXPENSE,BOLETO,false
Restaurante,256.52,2024-10-31,EXPENSE,CREDIT_CARD,false
Seguro do veiculo,233.94,2024-10-31,EXPENSE,BOLETO,true
Supermercado,471.02,2024-10-31,EXPENSE,BOLETO,false
Viagem e hospedagem,2444.41,2024-10-31,EXPENSE,BANK_TRANSFER,false
Aplicativo de transporte,63.21,2024-11-01,EXPENSE,CREDIT_CARD,false
Condominio,385.47,2024-11-01,EXPENSE,CREDIT_CARD,true
Conta de agua,122.76,2024-11-01,EXPENSE,BANK_TRANSFER,true
Conta de energia,140.13,2024-11-01,EXPENSE,PIX,true
Delivery de comida,109.88,2024-11-01,EXPENSE,PIX,false
Doacao,196.79,2024-11-01,EXPENSE,BOLETO,false
Doacao,335.74,2024-11-01,EXPENSE,BOLETO,false
Eletronicos,945.48,2024-11-01,EXPENSE,PIX,false
Eletronicos,2012.14,2024-11-01,EXPENSE,CREDIT_CARD,false
Plano de celular,88.37,2024-11-01,EXPENSE,PIX,true
Plano de saude,428.88,2024-11-01,EXPENSE,BANK_TRANSFER,false
Aluguel residencial,2169.39,2024-11-02,EXPENSE,BANK_TRANSFER,true
Conta de agua,79.18,2024-11-02,EXPENSE,BOLETO,true
Delivery de comida,139.50,2024-11-02,EXPENSE,BOLETO,false
Loja de roupas,860.79,2024-11-02,EXPENSE,BANK_TRANSFER,false
Plano de celular,155.26,2024-11-02,EXPENSE,PIX,true
Streaming,46.96,2024-11-02,EXPENSE,BANK_TRANSFER,false
Streaming,23.36,2024-11-02,EXPENSE,BANK_TRANSFER,true
Supermercado,236.58,2024-11-02,EXPENSE,CASH,false
Academia,168.67,2024-11-03,EXPENSE,PIX,true
Aluguel residencial,2187.25,2024-11-03,EXPENSE,BANK_TRANSFER,true
Aplicativo de transporte,90.39,2024-11-03,EXPENSE,BOLETO,false
Combustivel,122.64,2024-11-03,EXPENSE,DEBIT_CARD,false
Curso online,59.32,2024-11-03,EXPENSE,BANK_TRANSFER,false
Eletronicos,2757.66,2024-11-03,EXPENSE,PIX,false
Plano de celular,128.75,2024-11-03,EXPENSE,CASH,true
Plano de saude,765.34,2024-11-03,EXPENSE,CASH,true
Viagem e hospedagem,2530.12,2024-11-03,EXPENSE,DEBIT_CARD,false
Rendimento de investimento,481.42,2024-11-03,INCOME,PIX,true
Academia,143.06,2024-11-04,EXPENSE,CASH,true
Condominio,386.78,2024-11-04,EXPENSE,CASH,true
Conta de energia,382.45,2024-11-04,EXPENSE,CREDIT_CARD,true
Delivery de comida,96.10,2024-11-04,EXPENSE,DEBIT_CARD,false
Livraria,165.49,2024-11-04,EXPENSE,CASH,false
Loja de roupas,617.73,2024-11-04,EXPENSE,PIX,false
Manutencao do veiculo,1557.19,2024-11-04,EXPENSE,DEBIT_CARD,false
Supermercado,562.20,2024-11-04,EXPENSE,PIX,false
Supermercado,311.02,2024-11-04,EXPENSE,DEBIT_CARD,false
Pagamento freelance,2476.08,2024-11-04,INCOME,BANK_TRANSFER,false
Conta de energia,484.98,2024-11-05,EXPENSE,PIX,true
Curso online,389.39,2024-11-05,EXPENSE,PIX,false
Padaria,20.35,2024-11-05,EXPENSE,BOLETO,false
Plano de celular,158.94,2024-11-05,EXPENSE,DEBIT_CARD,true
Plano de celular,116.77,2024-11-05,EXPENSE,DEBIT_CARD,true
Restaurante,276.12,2024-11-05,EXPENSE,DEBIT_CARD,false
Dividendos,49.71,2024-11-05,INCOME,PIX,true
Reembolso empresarial,866.76,2024-11-05,INCOME,PIX,false
Rendimento de investimento,197.55,2024-11-05,INCOME,BANK_TRANSFER,true
Conta de agua,186.70,2024-11-06,EXPENSE,CASH,true
Conta de energia,611.20,2024-11-06,EXPENSE,DEBIT_CARD,false
Farmacia,181.92,2024-11-06,EXPENSE,CASH,false
Plano de saude,686.76,2024-11-06,EXPENSE,PIX,false
Plano de saude,733.61,2024-11-06,EXPENSE,DEBIT_CARD,true
Plano de saude,1242.71,2024-11-06,EXPENSE,BANK_TRANSFER,true
Seguro do veiculo,202.29,2024-11-06,EXPENSE,CREDIT_CARD,true
Streaming,42.56,2024-11-06,EXPENSE,CASH,true
Viagem e hospedagem,3323.63,2024-11-06,EXPENSE,CASH,false
Restituicao de imposto,2317.72,2024-11-06,INCOME,PIX,false
Aluguel residencial,2683.81,2024-11-07,EXPENSE,DEBIT_CARD,true
Aplicativo de transporte,57.38,2024-11-07,EXPENSE,BOLETO,false
Condominio,535.98,2024-11-07,EXPENSE,PIX,true
Doacao,98.92,2024-11-07,EXPENSE,BANK_TRANSFER,false
Doacao,49.22,2024-11-07,EXPENSE,DEBIT_CARD,false
Estacionamento,20.09,2024-11-07,EXPENSE,DEBIT_CARD,false
Loja de roupas,239.40,2024-11-07,EXPENSE,DEBIT_CARD,false
Plano de saude,198.16,2024-11-07,EXPENSE,DEBIT_CARD,true
Seguro do veiculo,138.53,2024-11-07,EXPENSE,CREDIT_CARD,false
Seguro do veiculo,320.07,2024-11-07,EXPENSE,DEBIT_CARD,true
Streaming,22.96,2024-11-07,EXPENSE,BOLETO,true
Veterinario,494.46,2024-11-07,EXPENSE,CASH,false
Dividendos,128.65,2024-11-07,INCOME,PIX,true
